[ Date      , Closing Price      , Open      , Daily High      , Daily Low      
         7/21/2009        ,65.61,65.35,66.68,64.52
         7/20/2009        ,63.98,63.36,64.91,63.19
         7/17/2009        ,63.56,61.95,63.99,61.04
         7/16/2009        ,62.02,61.73,62.25,60.3
         7/15/2009        ,61.54,59.8,61.99,59.8
         7/14/2009        ,59.52,60.08,61.45,59.15
         7/13/2009        ,59.69,59.95,60.68,58.32
         7/10/2009        ,59.89,60.7,60.82,58.72
         7/9/2009        ,60.41,60.33,61.66,59.25
         7/8/2009        ,60.14,62.18,62.67,60.01
         7/7/2009        ,62.93,64.27,64.89,62.17
         7/6/2009        ,64.05,65.27,65.46,63.39
         7/3/2009        ,65.81,66.35,67.15,65.48
         7/2/2009        ,66.73,69.53,69.7,66.27
         7/1/2009        ,69.31,70.6,71.84,68.51
         6/30/2009        ,69.89,71.75,73.35,68.91
         6/29/2009        ,71.49,68.92,71.91,68.35
         6/26/2009        ,69.16,70.44,71.31,68.8
         6/25/2009        ,70.23,68.48,70.92,68.34
         6/24/2009        ,68.67,68.65,69.9,68.07
         6/23/2009        ,69.24,67.4,69.68,66.26
         6/22/2009        ,67.5,70.14,70.21,66.67
         6/19/2009        ,69.55,71.42,72.3,68.88
         6/18/2009        ,71.37,71.34,71.74,70.21
         6/17/2009        ,71.03,69.96,71.28,68.98
         6/16/2009        ,70.47,70.12,72.78,69.81
         6/15/2009        ,70.62,72.3,72.31,69.49
         6/12/2009        ,72.04,72.51,72.6,70.82
         6/11/2009        ,72.68,71.55,73.23,71.32
         6/10/2009        ,71.33,70.6,71.78,70.51
         6/9/2009        ,70.01,68.89,70.69,68.44
         6/8/2009        ,68.09,68.07,68.95,66.79
         6/5/2009        ,68.44,68.85,70.4,67.5
         6/4/2009        ,68.81,65.96,69.6,65.93
         6/3/2009        ,66.12,68.14,68.96,64.96
         6/2/2009        ,68.55,67.85,69.04,67.51
         6/1/2009        ,68.58,66.46,68.68,66.35
         5/29/2009        ,66.31,64.78,66.59,64.74
         5/28/2009        ,65.08,62.88,65.44,62.77
         5/27/2009        ,63.45,62.7,63.81,62.2
         5/26/2009        ,62.45,61.2,62.55,59.52
         5/25/2009        ,61.22,61.8,62.13,60.85
         5/22/2009        ,61.67,61.2,61.97,60.48
         5/21/2009        ,61.05,61.5,61.84,59.92
         5/20/2009        ,62.04,60.1,62.25,59.89
         5/19/2009        ,60.1,59.64,60.97,58.93
         5/18/2009        ,59.03,56.44,59.33,56.19
         5/15/2009        ,56.34,58.71,58.87,56.07
         5/14/2009        ,58.62,57.89,59,56.55
         5/13/2009        ,58.02,59.43,59.87,57.4
         5/12/2009        ,58.85,58.37,60.06,57.8
         5/11/2009        ,58.5,58.37,58.63,56.8
         5/8/2009        ,58.63,56.87,58.73,56.87
         5/7/2009        ,56.71,56.3,58.57,55.42
         5/6/2009        ,56.34,54.12,56.64,53.59
         5/5/2009        ,53.84,54.36,54.8,53.49
         5/4/2009        ,54.47,52.99,54.6,52.56
         5/1/2009        ,53.2,50.75,53.64,50.44
         4/30/2009        ,51.12,50.59,51.92,50.21
         4/29/2009        ,50.97,49.45,51.63,49.15
         4/28/2009        ,49.92,49.96,50.16,48.57
         4/27/2009        ,50.14,51.17,51.2,48.01
         4/24/2009        ,51.55,49.55,51.75,49.06
         4/23/2009        ,49.62,48.76,49.94,48.38
         4/22/2009        ,48.85,48.6,49.08,47.73
         4/21/2009        ,48.55,48.61,49.32,46.73
         4/20/2009        ,45.88,50.33,50.34,45.53
         4/17/2009        ,50.33,49.87,51.4,49.42
         4/16/2009        ,49.98,49.76,50.47,49.13
         4/15/2009        ,49.25,49.09,50.78,48.91
         4/14/2009        ,49.41,49.9,51.11,48.85
         4/13/2009        ,50.05,51.91,52.15,48.82
         4/9/2009        ,52.24,50.99,52.44,49.8
         4/8/2009        ,49.38,48.14,51.29,47.38
         4/7/2009        ,49.15,51.23,51.8,48.37
         4/6/2009        ,51.05,52.32,53.56,49.8
         4/3/2009        ,52.51,52.16,53.83,51
         4/2/2009        ,52.64,48.61,52.87,48.61
         4/1/2009        ,48.39,48.59,48.76,47.27
         3/31/2009        ,49.66,48.73,49.98,47.76
         3/30/2009        ,48.41,51.9,51.93,48.11
         3/27/2009        ,52.38,54.1,54.25,51.63
         3/26/2009        ,54.34,53,54.75,53
         3/25/2009        ,52.77,53.54,54.24,51.85
         3/24/2009        ,53.98,53.71,54.06,52.44
         3/23/2009        ,53.8,52.35,54.03,51.62
         3/20/2009        ,52.07, ,52.75,51
         3/19/2009        ,51.61,49.13,52.25,48.77
         3/18/2009        ,48.14,48.75,49.86,46.93
         3/17/2009        ,49.16,47.26,49.81,46.54
         3/16/2009        ,47.35,44.97,47.67,43.6
         3/13/2009        ,46.25,46.64,48.13,45.7
